"Cardnumber not found","fashioncheque Karte konnte nicht gefunden werden oder ist ung체ltig."
"Card is empty and inactive.","fashioncheque Karte ist leer und inaktiv."
"Card is suspended.","fashioncheque Karte wurde gesperrt."
"Cardstatus expired","fashioncheque Karte ist abgelaufen."
"Card is not active yet.","fashioncheque Karte ist noch nicht aktiviert."
"The fashioncheque card has not enough Credit (Current Balance: %s %s)","fashioncheque Karte hat kein ausreichendes Guthaben. (Aktuelles Guthaben: %s %s)"
"fashioncheque Cardnumber","fashioncheque Kartennummer"
"Verification Code","Best채tigungscode"
"Verification Code invalid.","Best채tigungscode ung체ltig."
"URL POS","POS Adresse"
"Merchant-ID","Merchant-ID"
"Cardnumber:","Kartennummer:"
"Transaction-ID:","Transaktions-ID:"
"Test Mode","Test Modus"